"NUM_ID","NUM_IM","CODEBUR","LIEU_AF","MOTIF_AFFECT","FONCTION_AF","DIVISION_AF","SERVICE_AF","DIRECTION_AF","DATE_PS"
"2005DEC45","278 737","SAF","SERVICE ADMINISTRATIF ET FINANCIER","COMPLEMENT D'EFFECTIF","","DIVISION MATERIEL","SAF","DGD",
"2014DEC101","278 737","SRH","SERVICE DES RESSOURCES HUMAINES","COMPLEMENT D'EFFECTIF","RESPONSABLE DES AVANCEMENTS DES AGENTS AUXILIAIRES","DAA","SRH","DRF",
"2010DEC64","330 999","34AS","ANTSIRANANA","COMPLEMENT D'EFFECTIF","VERIFICATEUR","","SPCB","DSE",
"2007DEC58","273 352","SED","SERVICE DES ETUDES ET DE LA DOCUMENTATION","COMPLEMENT D'EFFECTIF","","","SED","DLRE",
"2008DEC60","273 352","42MG","MAHAJANGA","NOMME COORDONNATEUR","COORDONNATEUR","","SOC","DSE",
"2014DEC108","273 352","34AS","ANTSIRANANA","NOMINATION","CHEF DES OPERATIONS COMMERCIALES","","SPCB","DSE",05/11/14
"1998DEC5","271 975","34AS","ANTSIRANANA","COMPLEMENT D'EFFECTIF","RESPONSABLE NAVIGATION","","SOC","DSE",
"1999DEC12","273 361","53TL","TOLIARA","COMPLEMENT D'EFFECTIF","","","SOC","DSE",
"2001DEC26","273 361","SCRS","SERVICE DU CONTROLE DES REGIMES SUSPENSIFS","COMPLEMENT D'EFFECTIF","","","SCRS","",
"2005DEC50","273 361","34AS","ANTSIRANANA","COMPLEMENT D'EFFECTIF","RECEVABILITE","","SOC","DSE",
"2001DEC27","278 969","34AS","ANTSIRANANA","COMPLEMENT D'EFFECTIF","","","SOC","DSE",
"2007DEC61","278 969","BMSDIE","BMS DIEGO","COMPLEMENT D'EFFECTIF","","","SSLC","DSE",
"2014DEC117","278 969","34AS","ANTSIRANANA","COMPLEMENT D'EFFECTIF","ANALYSTE IMAGE SCANNER-ENVOI COLIS POSTAUX","","SPCB","DSE",
"1999DEC14","273 315","SLF","SERVICE DE LA LUTTE CONTRE LA FRAUDE","COMPLEMENT D'EFFECTIF","","","SLF","DAJLF",
"2002DEC23","273 315","34AS","ANTSIRANANA","COMPLEMENT D'EFFECTIF","CHEF DE POSTE","","SOC","DSE",
"2004DEC31","292 436","34AS","ANTSIRANANA","COMPLEMENT D'EFFECTIF","RESPONSABLE DES AVANCEMENTS","","SOC","DSE",
"2009DEC70","318 068","25BT","BETAINOMBY DEDIE SHERRITT","COMPLEMENT D'EFFECTIF","CHEF DE SITE INFORMATIQUE","","SOC","DSE",
"2014DEC121","318 068","34AS","ANTSIRANANA","COMPLEMENT D'EFFECTIF","CHEF DE SITE INFORMATIQUE","","SPCB","DSE",
"2002DEC24","282 297","21TO","BUREAU DES DOUANES DE TOAMASINA PORT","COMPLEMENT D'EFFECTIF","AGENT DU BRIGADE","","SOC","DSE",
"2007DEC65","282 297","34AS","ANTSIRANANA","COMPLEMENT D'EFFECTIF","UNITE MOBILE DE SURVEILLANCE","","SOC","DSE",08/10/07
"2005DEC52","295 760","SED","SERVICE DES ETUDES ET DE LA DOCUMENTATION","COMPLEMENT D'EFFECTIF","","","SED","",28/11/05
"2007DEC66","295 760","BMSDIE","BMS DIEGO","COMPLEMENT D'EFFECTIF","","","SSLC","DSE",
"2014DEC123","295 760","34AS","ANTSIRANANA","COMPLEMENT D'EFFECTIF","UNITE MOBILE DE SURVEILLANCE","","SPCB","DSE",13/10/14
"2000DEC16","275 881","34AS","ANTSIRANANA","COMPLEMENT D'EFFECTIF","AGENT DE BRIGADE","","SOC","DSE",
"2000DEC17","275 918","SLF","SERVICE DE LA LUTTE CONTRE LA FRAUDE","COMPLEMENT D'EFFECTIF","","","SLF","DAJLF",
"2002DEC25","275 918","SSD","SERVICE DE LA SURVEILLANCE DOUANIERE","MUTATION","","","SSD","DTERD",
"2005DEC53","275 918","34AS","ANTSIRANANA","COMPLEMENT D'EFFECTIF","UNITE MOBILE DE SURVEILLANCE","","SOC","DSE",25/01/06
"2004DEC33","292 435","34AS","ANTSIRANANA","COMPLEMENT D'EFFECTIF","PLANTON","","SOC","DSE",
"2009DEC63","268 514","11AN","ANTANANARIVO","COMPLEMENT D'EFFECTIF","IVL","","SOC","DSE",
"2015DEC40","331 006","21TO","BUREAU DES DOUANES DE TOAMASINA PORT","COMPLEMENT D'EFFECTIF","IVL","","SPCB","DSE",19/10/15
"2000DEC22","275 776","53TL","TOLIARA","COMPLEMENT D'EFFECTIF","","","SOC","DSE",
"2000DEC23","275 776","11AN","ANTANANARIVO","COMPLEMENT D'EFFECTIF","","","SOC","DSE",
"2002DEC32","275 776","21TO","BUREAU DES DOUANES DE TOAMASINA PORT","COMPLEMENT D'EFFECTIF","","","SOC","DSE",
"2004DEC41","275 776","16ZE","ANTENNE DES DOUANES ANOSISOA","COMPLEMENT D'EFFECTIF","","","SCRS","",
"2010DEC88","275 776","11AN","ANTANANARIVO","COMPLEMENT D'EFFECTIF","","","SPCB","DSE",
"2011DEC88","275 776","24SM","SAINTE-MARIE","NOMINATION SUR FONCTION","RECEVEUR DES DOUANES DE SAINTE-MARIE","","SOC","DSE",
"2000DEC24","275 822","42MG","MAHAJANGA","COMPLEMENT D'EFFECTIF","","","SOC","DSE",
"2004DEC42","275 822","24SM","SAINTE-MARIE","COMPLEMENT D'EFFECTIF","","","SOC","DSE",
"2000DEC26","276 160","11AN","ANTANANARIVO","COMPLEMENT D'EFFECTIF","","","SOC","DSE",
"2003DEC45","276 160","12IV","IVATO-AEROPORT","COMPLEMENT D'EFFECTIF","","","SOC","DSE",
"2005DEC72","276 160","21TO","BUREAU DES DOUANES DE TOAMASINA PORT","COMPLEMENT D'EFFECTIF","","","SOC","DSE",
"2007DEC106","276 160","PRMP","PERSONNE RESPONSABLE DU MARCHE PUBLIC","NOMME PRMP","PRMP","","PRMP","DGD",01/04/07
"2001DEC44","249 726","DESD","DIRECTION DES ENQUETES ET DE LA SURVEILLANCE DOUANIERES","COMPLEMENT D'EFFECTIF","","","","DESD",
"2002DEC35","249 726","SSC","SERVICE DES STATISTIQUES ET DE LA COMPTABILITE","COMPLEMENT D'EFFECTIF","","","SSC","",
"2014DEC260","304 447","SLR","SERVICE DE LA LEGISLATION ET DE LA REGLEMENTATION","ABROGEE","ABROGEE","","SLR","DLV",30/07/14
"2008DEC1","280 095","53TL","TOLIARA","COMPLEMENT D'EFFECTIF","VERIFICATEUR","","SOC","DSE",
"2005DEC4","276 157","ENSD","ECOLE NATIONALE SUPERIEURE DES DOUANES","","","","ENSD","DNFP",
"2008DEC4","276 157","22TP","TOAMASINA-PETROLES","","","","SOC","DSE",
"2009DEC6","276 157","21TO","BUREAU DES DOUANES DE TOAMASINA PORT","","","","SOC","DSE",
"2000DEC3","275 850","42MG","MAHAJANGA","COMPLEMENT D'EFFECTIF","","","SOC","DSE",
"2001DEC3","273 345","12IV","IVATO-AEROPORT","","","","SOC","DSE",
"2001DEC6","278 956","DGD","DIRECTION GENERALE DES DOUANES","COMPLEMENT D'EFFECTIF","","","","DGD",
"2014DEC39","278 956","25BT","BETAINOMBY DEDIE SHERRITT","COMPLEMENT D'EFFECTIF","","","SPCB","DSE",
"1999DEC5","273 345","SLF","SERVICE DE LA LUTTE CONTRE LA FRAUDE","","","","SLF","DAJLF",
"2004DEC7","278 956","21TO","BUREAU DES DOUANES DE TOAMASINA PORT","COMPLEMENT D'EFFECTIF","","","SOC","DSE",
"2001DEC7","278 956","11AN","ANTANANARIVO","COMPLEMENT D'EFFECTIF","","","SOC","DSE",
"2001DEC8","278 982","22TP","TOAMASINA-PETROLES","","CHEF COMPTABLE","","SPCB","DSE",
"2001DEC9","273 345","42MG","MAHAJANGA","","","","SOC","DSE",
"2001DEC11","278 974","21TO","BUREAU DES DOUANES DE TOAMASINA PORT","","","","SOC","DSE",
"2008DEC23","278 974","25BT","BETAINOMBY DEDIE SHERRITT","COMPLEMENT D'EFFECTIF","COMPTABILITE","CAISSE","SOC","DSE",
"2010DEC41","330 939","SLR","SERVICE DE LA LEGISLATION ET DE LA REGLEMENTATION","","","","SLR","DLV",
"2015DEC20","330 939","12IV","IVATO-AEROPORT","COMPLEMENT D'EFFECTIF","CHAUFFEUR","","SPCB","DSE",16/09/15
"2002DEC16","282 275","DSCD","DIRECTION DES STATISTIQUES ET DE LA COMPTABILITE DOUANIERES","COMPLEMENT D'EFFECTIF","","","","DSCD",
"2006DEC23","282 275","SCSR","SERVICE DE LA COMPTABILITE ET DU SUIVI DE RECOUVREMENT","","","","SCSR","DSCD",
"2007DEC27","282 275","SAE","SERVICE DES ACTIONS ECONOMIQUES","","","","SAE","DLV",
"2011DEC34","282 275","BMSDIE","BMS DIEGO","","","","SSLC","DSE",
"2013DEC33","282 275","25BT","BETAINOMBY DEDIE SHERRITT","COMPLEMENT D'EFFECTIF","COMPTABILITE","","SPCB","DSE",
"2005DEC26","295 739","21TO","BUREAU DES DOUANES DE TOAMASINA PORT","COMPLEMENT D'EFFECTIF","","","SOC","DSE",
"2014DEC64","295 739","25BT","BETAINOMBY DEDIE SHERRITT","COMPLEMENT D'EFFECTIF","","","SPCB","DSE",
"2015DEC22","295 739","12IV","IVATO-AEROPORT","COMPLEMENT D'EFFECTIF","","","SPCB","DSE",19/09/16
"2015DEC23","271 976","SAJC","SERVICE DES AFFAIRES JURIDIQUES ET DU CONTENTIEUX","COMPLEMENT D'EFFECTIF","","","SAJC","DAJLF",
"2000DEC8","271 976","ENSD","ECOLE NATIONALE SUPERIEURE DES DOUANES","COMPLEMENT D'EFFECTIF","","","ENSD","DNFP",
"2013DEC34","271 976","25BT","BETAINOMBY DEDIE SHERRITT","COMPLEMENT D'EFFECTIF","","","SOC","DSE",
"2007DEC30","304 747","ENSD","ECOLE NATIONALE SUPERIEURE DES DOUANES","COMPLEMENT D'EFFECTIF","PLANTON","","ENSD","DNFP",
"2011DEC38","333 535","24SM","SAINTE-MARIE","COMPLEMENT D'EFFECTIF","PLANTON","","SOC","DSE",
"2001DEC16","280 102","12IV","IVATO-AEROPORT","COMPLEMENT D'EFFECTIF","VERIFICATEUR","","SOC","DSE",
"1999DEC13","273 338","34AS","ANTSIRANANA","COMPLEMENT D'EFFECTIF","UNITE MOBILE DE SURVEILLANCE","","SOC","DSE",
"1988DEC2","243 891","42MG","MAHAJANGA","COMPLEMENT D'EFFECTIF","","","SOC","DSE",
"2004DEC29","243 891","34AS","ANTSIRANANA","COMPLEMENT D'EFFECTIF","UNITE MOBILE DE SURVEILLANCE","","SOC","DSE",
"2000DEC18","275 863","34AS","ANTSIRANANA","COMPLEMENT D'EFFECTIF","","","SOC","DSE",
"2007DEC68","275 863","BMSDIE","BMS DIEGO","COMPLEMENT D'EFFECTIF","AGENT BMS","","SOC","DSE",
"2014DEC126","275 863","34AS","ANTSIRANANA","COMPLEMENT D'EFFECTIF","VISITEUR-ENLEVEMENT-PORTE","","SPCB","DSE",13/10/14
"2004DEC35","292 441","34AS","ANTSIRANANA","COMPLEMENT D'EFFECTIF","PLANTON","","SPCB","DSE",
"1998DEC6","271 988","DAGD","DIRECTION DES AFFAIRES GENERALES DES DOUANES","COMPLEMENT D'EFFECTIF","","","","DAGD",
"2001DEC30","271 988","12IV","IVATO-AEROPORT","COMPLEMENT D'EFFECTIF","","","SOC","DSE",
"2002DEC27","271 988","62MJ","MANANJARY","COMPLEMENT D'EFFECTIF","","","SOC","DSE",
"2009DEC77","271 988","SID","SERVICE DE L'INSPECTION DOUANIERE","COMPLEMENT D'EFFECTIF","AUDITEUR","","SID","DGD",21/09/09
"2003DEC46","249 726","61MK","MANAKARA","COMPLEMENT D'EFFECTIF","","","SOC","DSE",
"2004DEC50","249 726","42MG","MAHAJANGA","COMPLEMENT D'EFFECTIF","COORDONNATEUR-ADJOINT AU RECEVEUR","","SOC","DSE",
"2008DEC96","249 726","22TP","TOAMASINA-PETROLES","NOMINATION","RECEVEUR DES DOUANES","","SOC","DSE",
"2014ART23","249 726","SID","SERVICE DE L'INSPECTION DOUANIERE","NOMINATION","CHEF DU SERVICE DE L'INSPECTION DOUANIERE","","SID","DGD",
"2010DEC111","325 286","SAF","SERVICE ADMINISTRATIF ET FINANCIER","COMPLEMENT D'EFFECTIF","CHAUFFEUR","","SAF","DGD",
"2014DEC188","325 286","21TO","BUREAU DES DOUANES DE TOAMASINA PORT","COMPLEMENT D'EFFECTIF","CHAUFFEUR","","SPCB","DSE",
"2015DEC78","325 286","SID","SERVICE DE L'INSPECTION DOUANIERE","COMPLEMENT D'EFFECTIF","CHAUFFEUR","","SID","DGD",
"1980DEC3","190 073","21TO","BUREAU DES DOUANES DE TOAMASINA PORT","1ERE AFFECTATION","","","","",
"1991DEC5","190 073","12IV","IVATO-AEROPORT","COMPLEMENT D'EFFECTIF","","","","",
"2001DEC47","190 073","13AB","ANTSIRABE","COMPLEMENT D'EFFECTIF","","","SOC","DSE",
"2004DEC52","190 073","51MD","MORONDAVA","COMPLEMENT D'EFFECTIF","","","SOC","DSE",
"2007DEC111","190 073","SID","SERVICE DE L'INSPECTION DOUANIERE","COMPLEMENT D'EFFECTIF","","","SID","DGD",
"2015DEC81","357 664","PRMP","PERSONNE RESPONSABLE DU MARCHE PUBLIC","PREMIERE AFFECTATION","CHAUFFEUR","","PRMP","DGD",
"2013DEC132","344 089","PRMP","PERSONNE RESPONSABLE DU MARCHE PUBLIC","PREMIERE AFFECTATION","CHAUFFEUR","","PRMP","DGD",
"1977DEC1","154 420","21TO","BUREAU DES DOUANES DE TOAMASINA PORT","COMPLEMENT D'EFFECTIF","","","","",
"1978DEC1","154 420","34AS","ANTSIRANANA","COMPLEMENT D'EFFECTIF","","","","",
"2000DEC29","154 420","52MB","MOROMBE","NOMINATION SUR FONCTION","RECEVEUR DES DOUANES","","SOC","DSE",
"2015ART56","280 094","ILMAU","ILE MAURICE","NOMINATION","CONSEILLERE DES AFFAIRES DOUANIERES","","EXTERIEUR","DGD",19/11/15
"2015ART57","238 301","BRX","BRUXELLES","NOMINATION","CONSEILLER AUX AFFAIRES DOUANIERES","","","DGD",
"2002DEC38","251 813","13AB","ANTSIRABE","NOMINATION","CHEF DE VISITE","","SOC","DSE",
"2004DEC54","141 854","63FI","FIANARANTSOA","NOMINATION SUR FONCTION","RECEVEUR DES DOUANES","","SOC","DSE",
"2006DEC72","141 854","13AB","ANTSIRABE","COMPLEMENT D'EFFECTIF","","","SOC","DSE",
"2009DEC114","141 854","BMSFIA","BMS FIANARANTSOA","NOMINATION SUR FONCTION","CHEF BMS","","SSLC","DSE",
"2014DEC197","141 854","63FI","FIANARANTSOA","NOMINATION SUR FONCTION","RECEVEUR DES DOUANES","","SPCB","DSE",
"2016ART1","379 845","SI","SERVICE DE L'INFORMATIQUE","NOMME CHEF DE PROJET","CHEF DE PROJET","","SI","DSCD",
"2002DEC74","244 498","DSCD","DIRECTION DES STATISTIQUES ET DE LA COMPTABILITE DOUANIERES","","INSPECTEUR DES DOUANES EN COMPLEMENT D'EFFECTIF","","","DSCD",
"2008DEC139","244 843","25BT","BETAINOMBY DEDIE SHERRITT","NOMINATION SUR FONCTION","RECEVEUR DES DOUANES 25BT","","SPCB","DSE",
"2001DEC65","245 898","11AN","ANTANANARIVO","COMPLEMENT D'EFFECTIF","","","SOC","DSE",
"2005DEC87","245 898","13AB","ANTSIRABE","NOMINATION SUR FONCTION","RECEVEUR DES DOUANES","","SOC","DSE",
"2007DEC150","245 898","SID","SERVICE DE L'INSPECTION DOUANIERE","COMPLEMENT D'EFFECTIF","CHEF DE DIVISION INSPECTION","","SID","DGD",
"2008DEC134","245 898","21TO","BUREAU DES DOUANES DE TOAMASINA PORT","NOMINATION SUR FONCTION","ADJOINT AU RECEVEUR 21TO","","SOC","DSE",
"2010DEC132","245 898","SLR","SERVICE DE LA LEGISLATION ET DE LA REGLEMENTATION","COMPLEMENT D'EFFECTIF","","","SLR","DLRE",
"1999DEC36","246 796","53TL","TOLIARA","COMPLEMENT D'EFFECTIF","INSPECTEUR DE VISITE","","SOC","DSE",
"2007DEC151","246 796","DGD","DIRECTION GENERALE DES DOUANES","COMPLEMENT D'EFFECTIF","","","","DGD",
"2008DEC128","246 796","SED","SERVICE DES ETUDES ET DE LA DOCUMENTATION","COMPLEMENT D'EFFECTIF","","","SED","DLRE",
"2014DEC304","246 796","DRF","DIRECTION DES RESSOURCES ET DE LA FORMATION","NOMINATION SUR FONCTION","CHEF DE DIVISION APPUI A LA DRF","APPUI A LA DRF","","DRF",17/10/14
"1991DEC8","246 911","12IV","IVATO-AEROPORT","COMPLEMENT D'EFFECTIF","","","SOC","DSE",
"1998DEC11","246 911","SCC","SERVICE DE LA COMMUNICATION ET DE LA COORDINATION","COMPLEMENT D'EFFECTIF","","","SCC","",14/09/98
"2000DEC31","246 911","DESD","DIRECTION DES ENQUETES ET DE LA SURVEILLANCE DOUANIERES","COMPLEMENT D'EFFECTIF","","","","DESD",
"2006DEC98","246 911","SLR","SERVICE DE LA LEGISLATION ET DE LA REGLEMENTATION","COMPLEMENT D'EFFECTIF","","","SLR","DLRE",
"2010DEC133","246 911","SCD","SERVICE DE LA COMPTABILITE DOUANIERE","COMPLEMENT D'EFFECTIF","","","","DSCD",27/07/10
"1989DEC4","246 915","12IV","IVATO-AEROPORT","COMPLEMENT D'EFFECTIF","","","","",
"1990DEC5","246 915","SDI","SERVICE DES DROITS INDIRECTS EXTERIEURS","COMPLEMENT D'EFFECTIF","","","SDI","",28/09/90
"2001DEC53","246 915","SVO","SERVICE DE LA VALEUR ET DE L'ORIGINE","Complement d'effectif","","","SVO","",20/03/01
"2003DEC5","244 982","22TP","TOAMASINA-PETROLES","RAPPROCHEMENT","","","SPCB","DSE",
"2007DEC4","304 426","SAJC","SERVICE DES AFFAIRES JURIDIQUES ET DU CONTENTIEUX","COMPLEMENT D'EFFECTIF","","","SAJC","DAJLF",
"2014DEC8","304 426","SI","SERVICE DE L'INFORMATIQUE","NOMINATION CHEF DE DIVISION","CHEF DE DIVISION","ETUDES ET SUIVI FONCTIONNEL","SI","DSCD",
"2005DEC3","295 780","21TO","BUREAU DES DOUANES DE TOAMASINA PORT","","","","SPCB","DSE",
"2015DEC2","295 780","22TP","TOAMASINA-PETROLES","","CAISSIERE","","SPCB","DSE",05/08/15
"2003DEC8","275 812","11AN","ANTANANARIVO","COMPLEMENT D'EFFECTIF","","","SOC","DSE",
"2007DEC10","275 812","BSTMM","BS TOAMASINA","COMPLEMENT D'EFFECTIF","","","SSLC","DSE",
"2014DEC17","275 812","22TP","TOAMASINA-PETROLES","COMPLEMENT D'EFFECTIF","CHEF DE POSTE","","SPCB","DSE",
"1994DEC1","248 429","42MG","MAHAJANGA","","","","SOC","DSE",
"1994DEC2","248 429","11AN","ANTANANARIVO","","","","SOC","DSE",
"1998DEC1","248 429","21TO","BUREAU DES DOUANES DE TOAMASINA PORT","","","","SOC","DSE",
"2000DEC5","248 429","22TP","TOAMASINA-PETROLES","","","","SOC","DSE",
"2007DEC24","248 429","SLF","SERVICE DE LA LUTTE CONTRE LA FRAUDE","","","","SOC","DSE",
"2006DEC19","248 429","SCRS","SERVICE DU CONTROLE DES REGIMES SUSPENSIFS","","","","SCRS","",
"2015DEC14","248 429","SID","SERVICE DE L'INSPECTION DOUANIERE","NOMINATION CHEF DE DIVISION","CHEF DE DIVISION","","SID","DGD",
"2005DEC28","275 895","SCRS","SERVICE DU CONTROLE DES REGIMES SUSPENSIFS","COMPLEMENT D'EFFECTIF","","","SCRS","",
"2007DEC31","275 895","12IV","IVATO-AEROPORT","COMPLEMENT D'EFFECTIF","","","SOC","DSE",
"2008DEC34","275 895","BSTMM","BS TOAMASINA","COMPLEMENT D'EFFECTIF","","","SSLC","DSE",
"2014DEC72","275 895","25BT","BETAINOMBY DEDIE SHERRITT","COMPLEMENT D'EFFECTIF","PREPOSE VISITEUR","","SPCB","DSE",
"1988DEC1","244 712","SDI","SERVICE DES DROITS INDIRECTS EXTERIEURS","COMPLEMENT D'EFFECTIF","","","SDI","",
"2000DEC13","244 712","12IV","IVATO-AEROPORT","COMPLEMENT D'EFFECTIF","","","SOC","DSE",
"2005DEC29","244 712","SRH","SERVICE DES RESSOURCES HUMAINES","COMPLEMENT D'EFFECTIF","RESPONSABLE MANDATEMENT-BILLETEUR SAF","SOLDE","SRH","DRF",24/01/06
"1994DEC3","238 301","21TO","BUREAU DES DOUANES DE TOAMASINA PORT","COMPLEMENT D'EFFECTIF","VERIFICATEUR","","SOC","DSE",
"1999DEC7","238 301","53TL","TOLIARA","NOMME CHEF DE VISITE","CHEF DE VISITE","","SOC","DSE",
"2002DEC19","238 301","42MG","MAHAJANGA","NOMME RECEVEUR DES DOUANES","RECEVEUR DES DOUANES","","SOC","DSE",
"2005DEC32","238 301","34AS","ANTSIRANANA","NOMME RECEVEUR","RECEVEUR DES DOUANES","","SOC","DSE",
"2007DEC34","238 301","21TO","BUREAU DES DOUANES DE TOAMASINA PORT","NOMME RECEVEUR DES DOUANES","RECEVEUR DES DOUANES","","SOC","DSE",
"1980DEC1","176 885","12IV","IVATO-AEROPORT","COMPLEMENT D'EFFECTIF","","","","",
"1981DEC1","176 885","SS","SERVICE DES STATISTIQUES","COMPLEMENT D'EFFECTIF","","","","",
"1990DEC3","176 885","12IV","IVATO-AEROPORT","REMPLACEMENT","","","SOC","DSE",
"2004DEC15","176 885","SRH","SERVICE DES RESSOURCES HUMAINES","COMPLEMENT D'EFFECTIF","CHEF DE DIVISION SOLDE","SOLDE","SRH","DRF",
"1999DEC9","273 362","21TO","BUREAU DES DOUANES DE TOAMASINA PORT","STAGIAIRE COMPLEMENT D'EFFECTIF","","","SOC","DSE",
"2000DEC14","273 362","SCRS","SERVICE DU CONTROLE DES REGIMES SUSPENSIFS","COMPLEMENT D'EFFECTIF","","","SCRS","",
"2001DEC17","273 362","61MK","MANAKARA","COMPLEMENT D'EFFECTIF","","","SPCB","DSE",
"2003DEC15","273 362","11AN","ANTANANARIVO","COMPLEMENT D'EFFECTIF","","","SPCB","DSE",
"2005DEC38","295 751","12IV","IVATO-AEROPORT","COMPLEMENT D'EFFECTIF","","","SPCB","DSE",
"2015DEC33","295 751","11AN","ANTANANARIVO","COMPLEMENT D'EFFECTIF","","","SPCB","DSE",23/09/15
